# adjectives
good, ona
bad, txarra
big, handia
small, txikia
long, luzea
short, laburra
short, motza
easy, erraza
difficult, zaila
fat, lodia
skiny, argala
thin, mehea
new, berria
old, zaharra
ugly, itsusia
pretty, polita
narrow, estua
wide, zabala
strong, sendoa
weak, ahula
urgent, larria
honest, zintzoa
naughty, bihurria
tall, altua
low, baxua
young, gaztea
senior, nagosia
sad, tristea
happy, alaia
fast, azkarra
stupid, ergela
elegant, dotorea
shabby, zatarra
blond, ilehoria
black-haired, beltzarana
bald, burusoila
full, beteta
empty, hutsik
hot, bero
warm, epel
cold, hotz
tied, lotuta
broken, apurtuta
wet, bustita
clean, garbi
dirty, zikin
lying, etzanda
standing, zutik
sitting, jesarrita
happy, pozik
sad, triste
crying, negarrez
laughing, barreka
angry, haserre
surprised, harrituta
ill, gaixorik
scared, beldurtuta
in love, maiteminduta
married, ezkondua
unmarried, ezkongabea
hungry, gose
crazy, zoratuta
lazy, alfer
thinking, pentsakor
calm, lasai
nervous, urduri
closed, itxita
open, irekita
# body parts
head, burua
body, gorputza
heart, bihotza
face, aurpegia
forehead, kopeta
forehead, bekokia
hair, ilea
eyebrow, bekaina
eyelash, betilea
eye, begia
nose, sudura
ear, belarria
mouth, ahoa
tooth, hortza
tongue, mihia
lip, ezpaina
cheek, masaila
chin, kokotsa
chest, bularra
waist, gerria
back, bizkarra
belly, sabela
shoulder, sorbalda
arm, besoa
elbow, ukondoa
hand, eskua
wrist, eskumuturra
finger, atzamar
hip, ipurdia
leg, hanka
thigh, izterra
knee, belauna
ankle, orkatila
foot, oina
toe, behatza
nipple, titia
nipple, titiburua
# date and time
spring, udaberria
summer, udara
autum, udazkena
winter, negua
january, urtarrila
februrary, otsaila
march, martxoa
april, apirila
may, maiatza
june, ekaina
july, uztaila
august, abustu
september, iraila
october,  urria
november, azaroa
december, abendua
yesterday, atzo
today, gaur
tomorrow, bihar
monday, astelehena
tuesday, asteartea
wednesday, asteazkena
thursday, osteguna
friday, ostirala
saturday, larunbata
sunday, igandea
weekday, asteguna
weekend, asteburua
second, segundoa
minute, minutua
hour, ordua
day, eguna
week, astea
month, hilabetea
year, urtea
season, urtaroa
this year, aurten
now, orain
earlier, lehenago
later, geroago
# order
the first, lehenengoa
the next, hurrengoa
the previous, aurrekoa
the last, azkena
# clothes
clothes, arropa
underpants, galtzontziloak
panties, kuleroak
socks, galtzerdiak
bra, bularretakoa
glove, eskularrua
hat, kapela
coat, berokia
sweater, jertsea
jacket, jaka
belt, gerrikoa
skirt, gona
pants, prakak
shirt, kamiseta
dress, soinekoa
shoes, zapatak
# colors
color, kolorea
green, berdea
blue, urdina
yellow, horia
orange, laranja
red, gorria
brown, marroia
purple, morea
pink, arrosa
fuchsia, fuksia
turquoise, turkesa
gold, urrea
silver, zilarra
gray, grisa
white, zuria
black, beltza
light, argia
dark, iluna
# family
parent, gurasoa
father, aita
mother, ama
son, semea
daughter, alaba
brother of man, anaia
brother of woman, neba
sister of man, arreba
sister of woman, ahizpa
husband, senarra
wife, emaztea
grandfather, aitona
grandmother, amama
grandchild, biloba
uncle, osaba
aunt, izeba
cousin, lehengusua
female cousin, lehengusina
nephew, iloba
niece, iloba
father-in-law, aitaginarreba
mother-in-law, amaginarreba
brother-in-law, koinatua
sister-in-law, koinata
son-in-law, suhia
daughter-in-law, erraina
# people
man, gizona
woman, emakumea
boy, mutila
girl, neska
kid, umea
people, jendea
friend, laguna
name, izena
# professions
actor, aktorea
singer, abeslaria
writer, idazlea
bertsolista, bertsolaria
chef, sukaldaria
shopkeeper, dendaria
photographer, argazkilaria
musician, musikaria
hairdresser, ile-apaintzailea
lawyer, abokatua
reporter, kazetaria
engineer, ingeniaria
athlete, kirolaria
student, ikaslea
teacher, irakaslea
firefighter, suhiltzailea
gardenner, lorezaina
doctor, medikua
office worker, bulegaria
# goods
microphone, mikrofonoa
hose, mangera
camera, argazki makina
stethoscope, fonendoskopioa
computer, ordenagailua
# stationary
scisors, guraizeak
# home
chair, aulkia
armchair, besaulkia
table, mahaia
shelf board, apala
shelf, apalategia
wardrobe, armairua
window, leihoa
broom, erratza
mop, lanbasa
garbigailua, washing machine
vacuum cleaner, aspiragailua
faucet, txorrota
stone, harria
iron, plantxa
trash bin, zakarrontxia
bucket, baldea
plant, landarea
vase, loreontzia
mirror, ispilua
carpet, alfonbra
curtain, gortina
roof, telatua
floor, solairua
floor, sorua
ceiling, sabaia
wall, horma
living room, egongela
kitchen, sukaldea
bed, ohea
phone, telefonoa
tap, iturria
# bathroom
towel, eskuoihala
shower, dutxa
sink, konketa
bathrobe, bainu-bata
bathtub, bainuontzia
toilet, komuna
toilet paper, komuneko papera
sponge, xaboia
toothbrush, hortzeskubila
toothpaste, hortzorea
# kitchen
frying pan, zartagina
stove, stegia
oven, labea
microwave oven, mikrouhin labea
hozkailua, refrigerator
glass, edalontzia
cup, katilua
bottle, botila
dish,platera
knife, aiztoa
fork, sardexka
spoon, koilara
ladle, bitsadera
spatula, bitsadera
napkin, ahozapia
# food
bread, ogia
# nature
mountain, mendia
river, ibaia
beach, hondaritza
island, irla
jungle, oihana
tree, zuhaitza
flower, lorea
sun, eguzkia
moon, ilargia
star, izarra
# city
city, hiria
town, herria
street, kalea
theater, antzokia
school, ikastola
park, parkea
bench, bankua
store, denda 
farm, baserria
church, eliza
well, putzua
city hall, udaletxea
train station, tren geltokian
castle, gaztelua
tower, dorrea
factory, fabrika
bridge, zubia
sports center, kiroldegia
bar, taberna
