traffic lights, die Ampel
arrival time, die Ankunftszeit
announcement, die Ansage
pharmacy, die Apotheke
doctor, der Arzt
doctor, die Ärztin
information, die Auskunft
also, außerdem
unscheduled, außerplanmäßig
car, das Auto
train, die Bahn
train station, der Bahnhof
ball, der Ball
bank, die Bank
pay, bezahlen
library, die Bibliothek
local city office, das Bürgerbüro
bus, der Bus
bus stop, die Bushaltestelle
café, das Café
third, dritte
announcement, die Durchsage
easy, einfach
single ticket, die Einzelfahrkarte
first, erste
adult, der Erwachsene
travel, fahren
passenger, der Fahrgast
travel ticket, die Fahrkarte
bicycle, das Fahrrad
fall, fallen
nearly, fast
airport, der Flughafen
building, das Gebäude
give, geben
opposite, gegenüber
straight ahead, geradeaus
platform, das Gleis
valid, gültig
stop, halten
station, die Haltestelle
main train station, der Hauptbahnhof
behind, hinter
hotel, das Hotel
information desk, der Informationsschalter
intercity, der Intercity
job centre, das Jobcenter
cinema, das Kino
church, die Kirche
hospital, das Krankenhaus
health insurance, die Krankenkasse
crossroads, die Kreuzung
short-haul, die Kurzstrecke
line, die Linie
left, links
solution, die Lösung
metre, der Meter
butcher, der Metzger
minute, die Minute
mobility, die Mobilität
motorcycle, das Motorrad
ask about, nachfragen
next, nächster
nothing, nichts
public, öffentlich
orientation, die Orientierung
park, der Park
parking fee, die Parkgebühr
car park, der Parkplatz
police, die Polizei
police station, die Position
post office, die Post
practical, praktisch
right, rechts
city hall, das Rathaus
regional train, die Regionalbahn
restaurant, das Restaurant
quiet, die Ruhe
replacement bus service, der Schienenersatzverkehr
swimming pool, das Schwimmbad
rarely, selten
anyway, sowieso
later, später
city map, der Stadtplan
city forest, der Stadtwald
climb, steigen
tram, die Straßenbahn
day ticket, die Tageskarte
taxi, das Taxi
everywhere, überall
change, umsteigen
around, ungefähr
under, unter
availability, die Verfügung
means of transport, das Verkehrsmittel
understood, verstanden
hesitate, verzögern
adult education centre, die Volkshochschule
full, voll
past, vorbei
at the front, vorne
wait, warten
path, der Weg
winter, der Winter
weekly market, der Wochenmarkt
want, wollen
train, der Zug
twice, zweimal
second, zweite
start, anfangen
work day, der Arbeitstag
education, die Ausbildung
fill out, ausfüllen
help, die Aushilfe
car mechanic, der Automechaniker
car mechanic, die Automechanikerin
bake, backen
baker, der Bäcker
baker, die Bäckerin
soon, bald
report, berichten
career, der Beruf
professionally, beruflich
office administrator, die Bürokauffrau
office administrator, der Bürokaufmann
boss, der Chef
boss, die Chefin
computer programme, das Computerprogramm
computer system, das Computersystem
last, dauern
three times, dreimal
driver, der Fahrer
catch, fangen
finishing time, der Feierabend
flexible, flexibel
photograph, fotografieren
friendly, freundlich
driver's license, der Führerschein
football player, der Fußballspieler
guitar, die Gitarre
halfdays, halbtags
housewife, die Hausfrau
househusband, der Hausmann
dog, der Hund
install, installieren
cantine, die Kantine
broken, kaputt
cash register, die Kasse
cashier, der Kassierer
cashier, die Kassiererin
business woman, die Kauffrau
waiter, der Kellner
waiter, die Kellnerin
to ring, klingeln
chef, der Koch
chef, die Köchin
colleague, der Kollege
colleague, die Kollegin
concert, das Konzert
to correct, korrigieren
motor vehicle, das Kraftfahrzeug
nurse, der Krankenpfleger
nurse, die Krankenschwester
people, kreativ
boring, langweilig
people, die Leute
mathematics, die Mathematik
mechanic, der Mechaniker
person, der Mensch
lunch, das Mittagessen
moment, der Moment
music teacher, der Musiklehrer
music teacher, die Musiklehrerin
night shift, der Nachtdienst
to organise, organisieren
pizza driver, der Pizzafahrer
pizzeria, die Pizzeria
care, die Pflege
to check, prüfen
on time, pünktlich
radio, das Radio
to calculate, rechnen
pensioner, der Rentner
repair, die Reparatur
to repair, reparieren
